Mercado;Combo ENTREGA;CLIENTE;MONTADOR;CÓD;MÁQUINA ;Ordem de entrega dos equipamentos;OP;Situação;FALTAS;ENTREGA BRALYX SBC;CÓDIGO PAINEL;OP;Fornecedor;Situação;Data Acionamento Bralyx SP;Faltas de itens para Painéis;ENTREGA BRALYX SBC;Prazo de entrega ( Painel Montado );ENTREGA BRALYX SBC ( PAINÉIS );Observações;Data da Solicitação ;Prazo (Comercial);Aceite PCP;Data final acordada - P.A;Data Entrega;Dias de Atraso;Faturada?
MI;;ESTOQUE;;HTX022NM220.2;HOTMIXER 35 L INOX ;;32921;Montagem ;;;;;;;;;;;;;26-mar;24-abr;;;;;
MI;;ESTOQUE;;HTX022NM220.2;HOTMIXER 35 L INOX ;;32922;Finalizada;;;;;;;;;;;;;26-mar;24-abr;;6-abr;;;
MI;;ESTOQUE;;HTX022NM220.2;HOTMIXER 35 L INOX ;;32923;Montagem ;;;;;;;;;;;;;26-mar;24-abr;;;;;
MI;;ESTOQUE;;HTX022NM220.2;HOTMIXER 35 L INOX ;;32924;Finalizada;;;;;;;;;;;;;26-mar;24-abr;;6-abr;;;
MI;;ESTOQUE;;HTX022NM220.2;HOTMIXER 35 L INOX ;;32925;Montagem ;;;;;;;;;;;;;26-mar;24-abr;;;;;
MI;;ESTOQUE;;MFX144NM220;MAXIFORM NEW LILY NR12  ;;32896;A separar;;;;;;;;;;;;;26-mar;24-abr;;;;;
MI;;ESTOQUE;;MFX177NM220;SUPER 20 TECH MK [NR12];;31548;Separada;DB5601 CAIXA DE MASSA , ;;;;;;;;100% ENTREGUE - MARÇO;;;OP DE CONVERSÃO: 29221;26-mar;24-abr;;17-abr;;;
MI;;ESTOQUE;;EPX110NM220;EMPANAMIX INDUSTRIAL PLUS 2020 ;;32569;Separada;;;;;;;;;100% ENTREGUE - MARÇO;;;;26-mar;24-abr;;;;;
ME;;ESTOQUE;;MFX166CM220;BIG 6.0 MKR CE;;32519;Separada;;;;;;;;;100% ENTREGUE - MARÇO;;;;27-mar;24-abr;;;;;
ME;;ESTOQUE;;MFX167CM220;BIG 8.0 MKR CE;;32905;Aguardando ;;;;;;;;;100% ENTREGUE - MARÇO;;;;27-mar;24-abr;;;;;
MI;SIM;WORK MAQDIAS;;MFX086NM220;MAXIFORM DUE 10.0 ;;33995;Separada;;;DB3434;ESTOQUE;;Finalizada ;;;;;;;20-mar;27-abr;;;;;
MI;;BRANCO ALIMENTOS LTDA ;;MFX166NM220; MAXIFORM BIG 6.0 MKR ;;33371;Separada;DB2087;;DB3732;ESTOQUE;;Finalizada ;;;;;;;5-mar;29-abr;;;;;S/ COBERTURA 
MI;;PAVANELI FESTAS E EVENTOS LTDA ;;MFX147NM220; MAXIFORM MAXI PRO 10.0 B - MÁQUINA FORMADORA/RECHEADORA ;;32904;Montagem ;;;DB2092;ESTOQUE;;Finalizada ;;;;;;;23-mar;30-abr;;;;;
MI;SIM;FISH MARIA;;EPX117NM220; EMPANAMIX INDUSTRIAL PLUS 2020 CHAPADO ;;32943;Separada;;100% ENTREGUE - MAR;DB1565;OP 32846 - 1/1;;Aguardando;;;;;;;10-mar;4-mai;;;;;
MI;SIM;FISH MARIA;;MFX147NM220; MAXIFORM MAXI PRO 10.0 B - MÁQUINA FORMADORA/RECHEADORA ;;32515;Separada;15451, KF624;;DB2092;ESTOQUE;;Finalizada ;;;;;;;10-mar;4-mai;;;;;
ME;;FORECASTING;Carlos;MFX001CM220;BABY TUBO 5.0 MK CE;;33650;Separada;;;DB2009;OP 33637 - 1/1;;Separada;;DA1433, DB7287, NA1777;;;;;11-mar;11-mai;;;;;
ME;;FORECASTING;Carlos;MFX001CM220;BABY TUBO 5.0 MK CE;;33651;Separada;;;DB2009;OP 33638 - 1/1;;Separada;;DA1433, DB7287, NA1777;;;;;11-mar;11-mai;;;;;
PCP;;SOLICIT. LM;;TPX032CM220;EMBANDEJADOR TRANSPORTADOR;;28748;Montagem ;NA1095 (verificar) - UTILIZAMOS NA2557  ;100% ENTREGUE - SET;DA7174;ESTOQUE;;Finalizada ;;;OK;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
