Mercado;Combo ENTREGA;CLIENTE;MONTADOR;CÓD;MÁQUINA ;Ordem de entrega dos equipamentos;OP;Situação;FALTAS;ENTREGA BRALYX SBC;CÓDIGO PAINEL;OP;Fornecedor;Situação;Data Acionamento Bralyx SP;Faltas de itens para Painéis;ENTREGA BRALYX SBC;Prazo de entrega ( Painel Montado );ENTREGA BRALYX SBC ( PAINÉIS );Observações;Data da Solicitação ;Prazo (Comercial);Aceite PCP;Data final acordada - P.A;Data Entrega;Dias de Atraso;Faturada?
ME;;ESTOQUE;;EPX110CM220;EMPANAMIX INDUSTRIAL PLUS 2020 CE;;30118;Finalizada;COMPLETA;100% ENTREGUE - FEV;DB1575;ESTOQUE;;Finalizada ;;;OK;;;;27-fev;27-mar;;23-mar;;;
MI;;ESTOQUE;;EPX110NM220;EMPANAMIX INDUSTRIAL PLUS 2020 ;;32056;Finalizada;COMPLETA;100% ENTREGUE - MAR;DB1564;ESTOQUE;;Finalizada ;;;OK;;;;27-fev;27-mar;;23-mar;;;
MI;;ESTOQUE;;MFX185NM220;MAXIFORM DUE 10.0 TECH MK ;;31516;Finalizada;COMPLETA;;;;;;;;;;;;26-mar;24-abr;;23-mar;;;
ME;;ESTOQUE;;MFX158CM220;LUNA TECH CE;;32788;Finalizada;COMPLETA;100% ENTREGUE - MAR;DB6213;ESTOQUE;;Finalizada ;;;OK;;;;27-fev;27-mar;;24-mar;;;
MI;;ESTOQUE;;EPX067NM220;EMPANAMIX MESA ;;32053;Finalizada;COMPLETA;;;;;;;;;;;;26-mar;24-abr;;24-mar;;;
MI;sim;WORK MAQDIAS;;MFX144NM220; MAXIFORM NEW LILY NR12 ;;32501;Finalizada;COMPLETA;100% ENTREGUE - MARÇO;DB2090;ESTOQUE;;Finalizada ;;;;;;;19-mar;10-abr;;25-mar;;;
ME;;IGPR. INC;;EPX067CM220;EMPANAMIX DE MESA CE;;32562;Finalizada;COMPLETA;100% ENTREGUE - MARÇO;DB1574;ESTOQUE;;Finalizada ;;;;;;;24-mar;17-abr;;25-mar;;;
MI;;ESTOQUE;;MFX145NM220;MAXIFORM NEW DULY NR12 ;;32504;Finalizada;COMPLETA;100% ENTREGUE - MAR;DB2091;ESTOQUE;;Finalizada ;;;OK;;;;27-fev;27-mar;;26-mar;;;
MI;;ESTOQUE;;MFX145NM220;MAXIFORM NEW DULY NR12 ;;32507;Finalizada;COMPLETA;;;;;;;;;;;;26-mar;24-abr;;27-mar;;;
MI;;;Leonardo ;FRX094NM220;FORMIX MULTIMASSAS ;21º;31982;Finalizada;;100% ENTREGUE - FEV;DB1802;ESTOQUE;;Finalizada ;;;OK;;;;27-out;27-fev;;6-abr;;;
MI;;;Nelson;FRX119NM220;ALIMENTADOR CONTINUO 10 LITROS NR12 ;23º;32623;Montagem ;DB3311 (Painel);100% ENTREGUE - MAR;DB3311;ESTOQUE;;Finalizada ;;;OK;13/03/2026;;;5-nov;27-fev;;30-mar;;;
MI;;ESTOQUE;Romario;FTX097IM220; FRITADEIRA BR FRY INMETRO ;;31984;Finalizada;COMPLETA;100% ENTREGUE - FEV;DB0804;ESTOQUE;;Finalizada ;;;OK;;;;2-fev;27-fev;;1-abr;;;
MI;;ESTOQUE;;MFX145NM220;MAXIFORM NEW DULY NR12 ;;32505;Montagem ;15805 (BOTECO) - 10/04, KF625 (BACHANITEC) - ENTREGUE, CM102 (Conjunto);100% ENTREGUE - MAR;DB2091;ESTOQUE;;Finalizada ;;;OK;;;;27-fev;27-mar;;30-mar;;;
MI;;ESTOQUE;Fabiano ;EPX110NM220;EMPANAMIX INDUSTRIAL PLUS 2020 ;;32567;Separada;KF227-07 (ROFER) - ENTREGUE ;100% ENTREGUE - MARÇO;DB1564;ESTOQUE;;Finalizada ;;;OK;;;;27-fev;27-mar;;30-mar;;;
MI;;ESTOQUE;Jorge;HTX022NM220.2;HOTMIXER 35 L INOX ;;32549;Finalizada;COMPLETA;100% ENTREGUE - MARÇO;DB7361;ESTOQUE;;Finalizada ;;;OK;;;;27-fev;27-mar;;30-mar;;;
MI;;ESTOQUE;Jorge;HTX022NM220.2;HOTMIXER 35 L INOX ;;32550;Finalizada;COMPLETA;100% ENTREGUE - MARÇO;DB7361;ESTOQUE;;Finalizada ;;;OK;;;;27-fev;27-mar;;30-mar;;;
MI;;ESTOQUE;Jorge;HTX022NM220.2;HOTMIXER 35 L INOX ;;32551;Finalizada;COMPLETA;100% ENTREGUE - MARÇO;DB7361;ESTOQUE;;Finalizada ;;;OK;;;;27-fev;27-mar;;30-mar;;;
ME;;Galley Provisions;Renan;MFX158UM220;LUNA TECH UL;;31941;Qualidade;COMPLETA;100% ENTREGUE - MAR;DB6215;OP 30447 - 1/1;BRALYX;Montagem;;;OK;;;COM ESTEIRA;13-mar;27-mar;;30-mar;;;
MI;;ESTOQUE;;EPX110NM220;EMPANAMIX INDUSTRIAL PLUS 2020 ;;32566;Finalizada;COMPLETA;100% ENTREGUE - MAR;DB1564;ESTOQUE;;Finalizada ;;;OK;;;;27-fev;27-mar;;2-abr;;;
MI;;GABRIELA QUERINO;;MFX144NM220;MAXIFORM NEW LILY NR12  (MFX144U00078);;33708;Qualidade;COMPLETA;100% ENTREGUE - MARÇO;DB2090;ESTOQUE;;Finalizada ;;;OK;;;;19-mar;10-abr;;30-mar;;;
ME;;LAKE;;EPX067CM220;EMPANAMIX DE MESA CE;;32564;Finalizada;COMPLETA;100% ENTREGUE - MARÇO;DB1574;ESTOQUE;;Finalizada ;;;;;;;24-mar;17-abr;;30-mar;;;
MI;;ESTOQUE;;EPX067NM220;EMPANAMIX MESA ;;32052;Finalizada;COMPLETA;;;;;;;;;;;;26-mar;24-abr;;30-mar;;;
MI;;ESTOQUE;;HTX022NM220.2;HOTMIXER 35 L INOX ;;32918;Finalizada;COMPLETA;;;;;;;;;;;;26-mar;24-abr;;30-mar;;;
MI;;FOOD-SOCIETY HG VOLANO LTDA ;Fabiano ;MSX193NM220; P3 EXTRUSORA C/4 TRAFILAS EM BRONZE ;;33632;Finalizada;COMPLETA;;DA4871;OP 33634 - 1/1;BRALYX;Montagem;;;OK;;;;16-mar;;;30-mar;;;
