Chave,C2_PRODUTO,C2_XDESCP,C2_QUANT,C2_DATPRI,C2_DATPRF,D4_COD,D4_QTDEORI,Soma de D4_QUANT,D4_XQFALFI,D4_XQTRANS
,,,,,,KF828P          ,4,8,4,0
,,,,,,KF828P          ,20,20,20,0
,,,,,,KF829P          ,1,1,1,0
,,,,,,KF829P          ,2,2,2,0
,,,,,,KF829P          ,5,5,5,0
,,,,,,KF829P          ,20,20,20,0
,,,,,,KF829U          ,2,4,2,0
,,,,,,KF830P          ,1,1,1,0
,,,,,,KF830U          ,1,2,1,0
,,,,,,KF831P          ,10,10,10,0
,,,,,,KF832P          ,50,50,50,0
,,,,,,KF832U          ,1,1,1,0
,,,,,,KF833P          ,10,10,10,0
,,,,,,KF833P          ,30,30,30,0
,,,,,,KF833U          ,1,1,1,0
,,,,,,KF835-02        ,1,1,1,0
,,,,,,KF841           ,1,1,1,0
,,,,,,KF841-01        ,1,1,1,0
,,,,,,KF843           ,1,2,1,0
,,,,,,KF843-02        ,1,1,1,0
,,,,,,KF846           ,1,2,1,0
,,,,,,KF847-01        ,1,2,1,0
,,,,,,KF847-02        ,1,1,1,0
,,,,,,KF848           ,1,1,1,0
,,,,,,KF860-01        ,1,2,1,0
,,,,,,KF867           ,1,1,1,0
,,,,,,KF869-01        ,1,1,1,0
,,,,,,KF869-02        ,1,1,1,0
,,,,,,KF871-01        ,1,6,1,0
,,,,,,KF879-01        ,1,1,1,0
,,,,,,KF889           ,1,10,1,0
,,,,,,KF906           ,1,3,1,0
,,,,,,MFX069CM220     ,1,1,1,0
,,,,,,MFX081NM220     ,1,3,1,0
,,,,,,MFX081NM220.R   ,1,1,1,0
,,,,,,MFX168CM220     ,1,1,1,0
,,,,,,MGS0123C        ,1,1,1,0
,,,,,,MLS0116C        ,1,1,1,0
,,,,,,MLS5023C        ,1,1,1,0
,,,,,,MTD0007G        ,1,1,1,0
,,,,,,NA0044          ,1,10,1,0
,,,,,,NA0044          ,2,2,2,0
,,,,,,NA0044          ,4,4,4,0
,,,,,,NA0091          ,4,4,4,0
,,,,,,NA0096         ,4,4,4,0
,,,,,,NA0103          ,4,4,4,0
,,,,,,NA0104         ,3,3,3,0
,,,,,,NA0105         ,3,3,3,0
,,,,,,NA0163          ,8,8,8,0
,,,,,,NA0172          ,4,4,4,0
,,,,,,NA0213          ,4,4,4,0
,,,,,,NA0449          ,8,8,8,0
,,,,,,NA0538         ,4,4,4,0
,,,,,,NA0538          ,1,3,1,0
,,,,,,NA0538          ,2,2,2,0
,,,,,,NA0581          ,12,12,12,0
,,,,,,NA0582         ,4,4,4,0
,,,,,,NA0583          ,10,10,10,0
,,,,,,NA0583          ,12,12,12,0
,,,,,,NA0583          ,26,26,26,0
,,,,,,NA0605          ,8,8,8,0
,,,,,,NA0606          ,4,8,4,0
,,,,,,NA0606          ,10,10,10,0
,,,,,,NA0607         ,7,7,7,0
,,,,,,NA0607          ,4,4,4,0
,,,,,,NA0607          ,10,10,10,0
,,,,,,NA0607          ,12,12,12,0
,,,,,,NA0607          ,26,26,19,7
,,,,,,NA0608         ,4,4,4,0
,,,,,,NA0622          ,8,8,8,0
,,,,,,NA0637          ,2,2,2,0
,,,,,,NA0770         ,4,4,4,0
,,,,,,NA0774          ,1,1,1,0
,,,,,,NA0776          ,1,9,1,0
,,,,,,NA0776          ,3,3,3,0
,,,,,,NA0776          ,4,8,4,0
,,,,,,NA0776          ,8,8,8,0
,,,,,,NA0786          ,2,28,2,0
,,,,,,NA0786          ,3,3,3,0
,,,,,,NA0786          ,4,28,4,0
,,,,,,NA0786          ,5,25,5,0
,,,,,,NA0786          ,8,8,8,0
,,,,,,NA0786          ,20,20,20,0
,,,,,,NA0795          ,2,6,2,0
,,,,,,NA0796          ,6,12,6,0
,,,,,,NA0798          ,2,24,2,0
,,,,,,NA0798          ,3,3,1,2
,,,,,,NA0798          ,3,24,3,0
,,,,,,NA0798          ,4,16,4,0
,,,,,,NA0799          ,2,14,2,0
,,,,,,NA0799          ,3,18,3,0
,,,,,,NA0799          ,4,4,4,0
,,,,,,NA0800          ,1,28,1,0
,,,,,,NA0800          ,2,48,2,0
,,,,,,NA0800          ,2,2,4,0
,,,,,,NA0800          ,3,27,3,0
,,,,,,NA0800          ,4,216,4,0
,,,,,,NA0800          ,5,5,5,0
,,,,,,NA0800          ,6,6,6,0
,,,,,,NA0800          ,7,7,7,0
,,,,,,NA0800          ,8,112,8,0
,,,,,,NA0800          ,9,9,9,0
,,,,,,NA0800          ,10,10,10,0
,,,,,,NA0800          ,30,30,30,0
,,,,,,NA0800          ,45,45,45,0
,,,,,,NA0803          ,2,6,2,0
,,,,,,NA0810          ,4,40,4,0
,,,,,,NA0810          ,6,18,6,0
,,,,,,NA0816         ,2,2,2,0
,,,,,,NA0819          ,1,6,1,0
,,,,,,NA0821          ,1,3,1,0
,,,,,,NA0821          ,2,10,2,0
,,,,,,NA0821          ,3,18,3,0
,,,,,,NA0821          ,5,30,5,0
,,,,,,NA0821          ,6,6,6,0
,,,,,,NA0821          ,7,28,7,0
,,,,,,NA0821          ,8,8,8,0
,,,,,,NA0821          ,10,10,10,0
,,,,,,NA0821          ,14,14,14,0
,,,,,,NA0821          ,15,15,15,0
,,,,,,NA0821          ,30,30,30,0
,,,,,,NA0821          ,45,45,45,0
,,,,,,NA0827          ,2,6,2,0
,,,,,,NA0847          ,1,3,1,0
,,,,,,NA0850          ,2,2,2,0
,,,,,,NA0851          ,1,3,1,0
,,,,,,NA0854          ,1,1,1,0
,,,,,,NA0861          ,1,14,1,0
,,,,,,NA0861          ,2,6,2,0
,,,,,,NA0867          ,1,1,1,0
,,,,,,NA0912          ,3,6,3,0
,,,,,,NA0912          ,4,4,4,0
,,,,,,NA0913          ,2,6,2,0
,,,,,,NA0915         ,1,13,1,0
,,,,,,NA0915          ,3,3,3,0
,,,,,,NA0915          ,5,5,5,0
,,,,,,NA0918         ,2,6,2,0
,,,,,,NA0918         ,4,20,4,0
,,,,,,NA0918         ,6,6,6,0
,,,,,,NA0919         ,2,2,2,0
,,,,,,NA0919          ,3,3,3,0
,,,,,,NA0920         ,2,2,2,0
,,,,,,NA0920          ,3,3,3,0
,,,,,,NA0920          ,4,4,4,0
,,,,,,NA0923          ,1,8,1,0
,,,,,,NA0923          ,2,4,2,0
,,,,,,NA0923          ,5,10,5,0
,,,,,,NA0926          ,1,9,1,0
,,,,,,NA0968          ,1,5,1,0
,,,,,,NA0968          ,1,2,2,0
,,,,,,NA0968          ,2,4,2,0
,,,,,,NA0969          ,1,5,1,0
,,,,,,NA0969          ,1,2,2,0
,,,,,,NA0969          ,2,4,2,0
,,,,,,NA0972          ,12,12,12,0
,,,,,,NA0972          ,15,60,15,0
,,,,,,NA0972          ,15,30,30,0
,,,,,,NA0972          ,30,60,30,0
,,,,,,NA0973          ,12,12,12,0
,,,,,,NA0973          ,15,60,15,0
,,,,,,NA0973          ,15,30,30,0
,,,,,,NA0973          ,30,60,30,0
,,,,,,NA1078          ,2,6,2,0
,,,,,,NA1079         ,1,2,1,0
,,,,,,NA1080          ,1,2,1,0
,,,,,,NA1080          ,2,2,2,0
,,,,,,NA1082         ,1,2,1,0
,,,,,,NA1082          ,2,2,2,0
,,,,,,NA1083         ,2,2,2,0
,,,,,,NA1094          ,1,7,1,0
,,,,,,NA1095          ,1,11,1,0
,,,,,,NA1139          ,1,12,1,0
,,,,,,NA1139          ,2,12,2,0
,,,,,,NA1139          ,4,4,4,0
,,,,,,NA1141          ,1,5,1,0
,,,,,,NA1141          ,2,2,2,0
,,,,,,NA1144          ,1,3,1,0
,,,,,,NA1171          ,1,23,1,0
,,,,,,NA1171          ,2,2,2,0
,,,,,,NA1180         ,4,8,4,0
,,,,,,NA1180          ,1,8,1,0
,,,,,,NA1180          ,2,8,2,0
,,,,,,NA1180          ,3,3,3,0
,,,,,,NA1181-1        ,1,1,1,0
,,,,,,NA1228          ,2,4,2,0
,,,,,,NA1228          ,10,20,10,0
,,,,,,NA1229          ,3,3,3,0
,,,,,,NA1230          ,1,3,1,0
,,,,,,NA1230          ,2,4,2,0
,,,,,,NA1243          ,1,1,1,0
,,,,,,NA1261          ,2,2,2,0
,,,,,,NA1331          ,1,1,1,0
,,,,,,NA1344          ,1,1,1,0
,,,,,,NA1352          ,1,5,1,0
,,,,,,NA1356          ,10,10,10,0
,,,,,,NA1370         ,2,4,2,0
,,,,,,NA1376         ,2,2,2,0
,,,,,,NA1386          ,1,2,1,0
,,,,,,NA1388          ,2,2,2,0
,,,,,,NA1391          ,1,1,1,0
,,,,,,NA1394          ,1,1,1,0
,,,,,,NA1395          ,1,1,1,0
,,,,,,NA1397          ,1,7,1,0
,,,,,,NA1397          ,2,2,2,0
,,,,,,NA1397          ,5,5,5,0
,,,,,,NA1410          ,8,8,8,0
,,,,,,NA1413          ,2,10,2,0
,,,,,,NA1431          ,1,1,1,0
,,,,,,NA1431          ,2,4,2,0
,,,,,,NA1432          ,1,1,1,0
,,,,,,NA1433         ,3,3,3,0
,,,,,,NA1433          ,1,19,1,0
,,,,,,NA1433          ,2,2,2,0
,,,,,,NA1433          ,4,4,4,0
,,,,,,NA1434         ,2,2,2,0
,,,,,,NA1434          ,1,18,1,0
,,,,,,NA1434          ,3,3,3,0
,,,,,,NA1437         ,2,12,2,0
,,,,,,NA1443          ,1,1,1,0
,,,,,,NA1445          ,1,7,1,0
,,,,,,NA1445          ,2,4,2,0
,,,,,,NA1446          ,2,2,2,0
,,,,,,NA1456          ,1,8,1,0
,,,,,,NA1460          ,1,1,1,0
,,,,,,NA1467          ,1,4,1,0
,,,,,,NA1467          ,1,2,2,0
,,,,,,NA1467          ,2,4,2,0
,,,,,,NA1467          ,2,4,4,0
,,,,,,NA1467          ,3,3,3,0
,,,,,,NA1468          ,1,4,1,0
,,,,,,NA1468          ,1,2,2,0
,,,,,,NA1468          ,2,6,2,0
,,,,,,NA1468          ,2,4,4,0
,,,,,,NA1468          ,6,6,6,0
,,,,,,NA1472          ,1,2,1,0
,,,,,,NA1474          ,18,18,18,0
,,,,,,NA1476          ,1,1,1,0
,,,,,,NA1478          ,1,1,1,0
,,,,,,NA1481          ,6,72,6,0
,,,,,,NA1481          ,12,36,12,0
,,,,,,NA1481          ,24,24,24,0
,,,,,,NA1481          ,60,60,60,0
,,,,,,NA1485          ,2,4,2,0
,,,,,,NA1504          ,1,71,1,0
,,,,,,NA1504          ,2,46,2,0
,,,,,,NA1504          ,2,4,4,0
,,,,,,NA1504          ,3,60,3,0
,,,,,,NA1504          ,3,3,4,0
,,,,,,NA1504          ,4,24,4,0
,,,,,,NA1504          ,5,155,5,0
,,,,,,NA1505         ,1,6,1,0
,,,,,,NA1505          ,3,3,3,0
,,,,,,NA1531          ,4,4,4,0
,,,,,,NA1547          ,4,8,4,0
,,,,,,NA1548          ,1,4,1,0
,,,,,,NA1569         ,1,2,1,0
,,,,,,NA1574         ,2,10,2,0
,,,,,,NA1574          ,4,4,4,0
,,,,,,NA1574          ,8,8,8,0
,,,,,,NA1574          ,10,10,10,0
,,,,,,NA1586          ,4,4,4,0
,,,,,,NA1599          ,1,2,1,0
,,,,,,NA1600          ,2,8,2,0
,,,,,,NA1600          ,6,6,6,0
,,,,,,NA1603          ,1,4,1,0
,,,,,,NA1603          ,1,2,2,0
,,,,,,NA1603          ,2,4,2,0
,,,,,,NA1603          ,2,4,4,0
,,,,,,NA1603          ,3,3,3,0
,,,,,,NA1620          ,1,1,1,0
,,,,,,NA1627         ,2,12,2,0
,,,,,,NA1627          ,8,8,8,0
,,,,,,NA1627          ,10,10,10,0
,,,,,,NA1629          ,1,1,1,0
,,,,,,NA1630          ,1,1,1,0
,,,,,,NA1633          ,1,5,1,0
,,,,,,NA1633          ,2,2,2,0
,,,,,,NA1635         ,1,5,1,0
,,,,,,NA1635          ,2,8,2,0
,,,,,,NA1643          ,2,6,2,0
,,,,,,NA1643          ,3,3,3,0
,,,,,,NA1647          ,2,2,2,0
,,,,,,NA1649          ,1,2,1,0
,,,,,,NA1649          ,3,3,3,0
,,,,,,NA1657          ,1,4,1,0
,,,,,,NA1664          ,7,7,7,0
,,,,,,NA1672          ,1,1,1,0
,,,,,,NA1680          ,1,8,1,0
,,,,,,NA1681          ,1,4,1,0
,,,,,,NA1682         ,2,2,2,0
,,,,,,NA1685          ,1,8,1,0
,,,,,,NA1685          ,3,3,3,0
,,,,,,NA1685          ,4,8,4,0
,,,,,,NA1692          ,6,6,6,0
,,,,,,NA1693          ,1,9,1,0
,,,,,,NA1693          ,1,2,2,0
,,,,,,NA1693          ,2,2,2,0
,,,,,,NA1693          ,3,12,3,0
,,,,,,NA1693          ,4,4,4,0
,,,,,,NA1699         ,1,2,1,0
,,,,,,NA1722          ,1,1,1,0
,,,,,,NA1734          ,1,2,1,0
,,,,,,NA1739          ,1,2,1,0
,,,,,,NA1740          ,1,3,1,0
,,,,,,NA1745         ,2,6,2,0
,,,,,,NA1746         ,5,5,5,0
,,,,,,NA1746          ,2,2,2,0
,,,,,,NA1747          ,1,3,1,0
,,,,,,NA1774          ,1,40,1,0
,,,,,,NA1774          ,1,2,2,0
,,,,,,NA1774          ,2,30,2,0
,,,,,,NA1774          ,3,48,3,0
,,,,,,NA1774          ,4,12,4,0
,,,,,,NA1774          ,5,30,5,0
,,,,,,NA1774          ,6,36,6,0
,,,,,,NA1774          ,8,8,8,0
,,,,,,NA1774          ,9,9,9,0
,,,,,,NA1774          ,10,10,10,0
,,,,,,NA1774          ,12,24,12,0
,,,,,,NA1774          ,15,15,15,0
,,,,,,NA1774          ,20,80,20,0
,,,,,,NA1774          ,25,25,25,0
,,,,,,NA1774          ,30,30,30,0
,,,,,,NA1775          ,1,5,1,0
,,,,,,NA1775          ,2,2,2,0
,,,,,,NA1778          ,1,11,1,0
,,,,,,NA1780         ,2,4,2,0
,,,,,,NA1783          ,1,2,1,0
,,,,,,NA1784          ,1,6,1,0
,,,,,,NA1787          ,1,6,1,0
,,,,,,NA1790          ,6,18,6,0
,,,,,,NA1795          ,1,3,1,0
,,,,,,NA1797         ,2,2,2,0
,,,,,,NA1801          ,1,3,1,0
,,,,,,NA1805          ,1,6,1,0
,,,,,,NA1805          ,5,5,5,0
,,,,,,NA1809          ,1,9,1,0
,,,,,,NA1819          ,1,6,1,0
,,,,,,NA1819          ,1,2,2,0
,,,,,,NA1819          ,2,6,2,0
,,,,,,NA1819          ,3,3,3,0
,,,,,,NA1822         ,5,50,5,0
,,,,,,NA1824          ,1,37,1,0
,,,,,,NA1824          ,1,2,2,0
,,,,,,NA1824          ,2,44,2,0
,,,,,,NA1824          ,3,24,3,0
,,,,,,NA1824          ,4,24,4,0
,,,,,,NA1824          ,5,20,5,0
,,,,,,NA1824          ,6,12,6,0
,,,,,,NA1824          ,8,8,8,0
,,,,,,NA1824          ,9,9,9,0
,,,,,,NA1824          ,12,12,12,0
,,,,,,NA1824          ,15,30,15,0
,,,,,,NA1824          ,16,32,16,0
,,,,,,NA1824          ,20,40,20,0
,,,,,,NA1826          ,1,4,1,0
,,,,,,NA1826          ,2,4,2,0
,,,,,,NA1826          ,4,8,8,0
,,,,,,NA1826          ,5,10,5,0
,,,,,,NA1833         ,1,4,1,0
,,,,,,NA1833          ,2,4,2,0
,,,,,,NA1833          ,4,8,8,0
,,,,,,NA1833          ,5,10,5,0
,,,,,,NA1835          ,1,3,1,0
,,,,,,NA1840         ,5,10,5,0
,,,,,,NA1841          ,1,6,1,0
,,,,,,NA1849          ,2,2,2,0
,,,,,,NA1849          ,3,3,3,0
,,,,,,NA1850          ,3,3,3,0
,,,,,,NA1851         ,5,5,5,0
,,,,,,NA1851         ,6,24,6,0
,,,,,,NA1851         ,7,28,7,0
,,,,,,NA1851         ,18,18,18,0
,,,,,,NA1851          ,8,16,8,0
,,,,,,NA1860         ,2,4,2,0
,,,,,,NA1860          ,1,4,1,0
,,,,,,NA1862          ,1,5,1,0
,,,,,,NA1865          ,1,1,1,0
,,,,,,NA1865          ,2,4,2,0
,,,,,,NA1865          ,5,5,5,0
,,,,,,NA1869          ,1,10,1,0
,,,,,,NA1869          ,3,3,3,0
,,,,,,NA1907          ,2,8,2,0
,,,,,,NA1907          ,4,4,4,0
,,,,,,NA1910          ,8,8,8,0
,,,,,,NA1912          ,4,4,4,0
,,,,,,NA1913         ,2,12,2,0
,,,,,,NA1913         ,5,5,5,0
,,,,,,NA1913          ,1,10,1,0
,,,,,,NA1913          ,4,4,4,0
,,,,,,NA1914         ,4,4,4,0
,,,,,,NA1915          ,1,6,1,0
,,,,,,NA1915          ,2,4,2,0
,,,,,,NA1916          ,1,6,1,0
,,,,,,NA1916          ,2,4,2,0
,,,,,,NA1916          ,3,3,3,0
,,,,,,NA1916          ,4,8,4,0
,,,,,,NA1917         ,4,8,4,0
,,,,,,NA1917          ,1,4,1,0
,,,,,,NA1917          ,2,2,1,1
,,,,,,NA1917          ,2,2,2,0
,,,,,,NA1921          ,1,1,1,0
,,,,,,NA1921          ,4,4,4,0
,,,,,,NA1923         ,1,1,1,0
,,,,,,NA1923          ,2,6,2,0
,,,,,,NA1923          ,3,3,3,0
,,,,,,NA1925          ,1,10,1,0
,,,,,,NA1925          ,2,2,2,0
,,,,,,NA1925          ,3,3,3,0
,,,,,,NA1926          ,1,4,1,0
,,,,,,NA1926          ,2,2,2,0
,,,,,,NA1927          ,1,2,1,0
,,,,,,NA1927          ,2,2,2,0
,,,,,,NA1927          ,3,3,3,0
,,,,,,NA1927          ,5,5,5,0
,,,,,,NA1928          ,1,7,1,0
,,,,,,NA1928          ,2,2,2,0
,,,,,,NA1936          ,1,1,1,0
,,,,,,NA1937          ,1,2,1,0
,,,,,,NA1988          ,2,14,2,0
,,,,,,NA1988          ,6,6,6,0
,,,,,,NA1995          ,10,10,10,0
,,,,,,NA2008          ,1,5,1,0
,,,,,,NA2008          ,2,10,2,0
,,,,,,NA2018          ,1,4,1,0
,,,,,,NA2021          ,1,1,1,0
,,,,,,NA2031          ,1,5,1,0
,,,,,,NA2056         ,1,4,1,0
,,,,,,NA2056         ,3,3,3,0
,,,,,,NA2057         ,1,4,1,0
,,,,,,NA2057         ,3,3,3,0
,,,,,,NA2057         ,4,4,4,0
,,,,,,NA2057          ,2,10,2,0
,,,,,,NA2061          ,1,18,1,0
,,,,,,NA2063          ,2,4,2,0
,,,,,,NA2075          ,1,1,1,0
,,,,,,NA2075          ,2,2,2,0
,,,,,,NA2080         ,1,1,1,0
,,,,,,NA2080          ,3,3,3,0
,,,,,,NA2088          ,1,2,1,0
,,,,,,NA2088          ,1,2,2,0
,,,,,,NA2088          ,2,6,2,0
,,,,,,NA2088          ,3,3,3,0
,,,,,,NA2099          ,1,1,1,0
,,,,,,NA2101          ,1,9,1,0
,,,,,,NA2101          ,2,4,2,0
,,,,,,NA2103          ,4,40,4,0
,,,,,,NA2103          ,8,8,8,0
,,,,,,NA2104          ,2,2,2,0
,,,,,,NA2127          ,1,3,1,0
,,,,,,NA2127          ,2,4,2,0
,,,,,,NA2127          ,4,4,4,0
,,,,,,NA2129          ,1,12,1,0
,,,,,,NA2129          ,2,2,2,0
,,,,,,NA2129          ,3,3,3,0
,,,,,,NA2135         ,1,1,1,0
,,,,,,NA2135         ,2,8,2,0
,,,,,,NA2141          ,2,6,2,0
,,,,,,NA2142          ,1,11,1,0
,,,,,,NA2143         ,1,11,1,0
,,,,,,NA2143          ,4,48,4,0
,,,,,,NA2143          ,8,16,8,0
,,,,,,NA2145          ,2,10,2,0
,,,,,,NA2145          ,4,4,4,0
,,,,,,NA2145          ,10,10,10,0
,,,,,,NA2145          ,20,20,20,0
,,,,,,NA2145          ,30,30,30,0
,,,,,,NA2147          ,1,3,1,0
,,,,,,NA2161          ,1,10,1,0
,,,,,,NA2161          ,2,2,2,0
,,,,,,NA2164         ,1,1,1,0
,,,,,,NA2164         ,2,2,2,0
,,,,,,NA2176         ,1,1,1,0
,,,,,,NA2176          ,5,15,5,0
,,,,,,NA2179          ,1,1,1,0
,,,,,,NA2179          ,3,3,3,0
,,,,,,NA2179          ,4,4,3,1
,,,,,,NA2179          ,4,52,4,0
,,,,,,NA2179          ,5,25,5,0
,,,,,,NA2179          ,20,60,20,0
,,,,,,NA2182          ,1,12,1,0
,,,,,,NA2182          ,2,4,2,0
,,,,,,NA2182          ,3,12,3,0
,,,,,,NA2182          ,4,12,4,0
,,,,,,NA2182          ,5,20,5,0
,,,,,,NA2202         ,1,1,1,0
,,,,,,NA2205          ,1,6,1,0
,,,,,,NA2205          ,2,2,2,0
,,,,,,NA2206          ,1,20,1,0
,,,,,,NA2212          ,1,1,1,0
,,,,,,NA2213          ,1,5,1,0
,,,,,,NA2213          ,2,8,2,0
,,,,,,NA2214          ,1,26,1,0
,,,,,,NA2215          ,1,24,1,0
,,,,,,NA2216          ,1,21,1,0
,,,,,,NA2217          ,1,22,1,0
,,,,,,NA2254          ,2,2,2,0
,,,,,,NA2257          ,1,4,1,0
,,,,,,NA2268          ,1,1,1,0
,,,,,,NA2270          ,1,2,1,0
,,,,,,NA2272          ,1,2,1,0
,,,,,,NA2290          ,1,1,1,0
,,,,,,NA2303          ,2,2,2,0
,,,,,,NA2304          ,2,2,2,0
,,,,,,NA2327          ,2,2,2,0
,,,,,,NA2330          ,2,2,2,0
,,,,,,NA2331          ,2,2,2,0
,,,,,,NA2345          ,1,2,1,0
,,,,,,NA2346          ,1,1,1,0
,,,,,,NA2347          ,1,2,1,0
,,,,,,NA2350          ,1,1,1,0
,,,,,,NA2351          ,1,2,1,0
,,,,,,NA2351          ,3,3,3,0
,,,,,,NA2352          ,2,2,2,0
,,,,,,NA2358          ,15,15,15,0
,,,,,,NA2360         ,1,1,1,0
,,,,,,NA2378          ,1,1,1,0
,,,,,,NA2387         ,4,4,4,0
,,,,,,NA2387          ,2,16,2,0
,,,,,,NA2398          ,1,1,1,0
,,,,,,NA2408          ,4,4,4,0
,,,,,,NA2408          ,6,12,6,0
,,,,,,NA2408          ,7,7,7,0
,,,,,,NA2408          ,8,56,8,0
,,,,,,NA2408          ,10,50,10,0
,,,,,,NA2408          ,12,36,12,0
,,,,,,NA2408          ,16,16,16,0
,,,,,,NA2412          ,3,3,3,0
,,,,,,NA2426          ,1,1,1,0
,,,,,,NA2427         ,1,1,1,0
,,,,,,NA2428          ,1,4,1,0
,,,,,,NA2428          ,4,8,4,0
,,,,,,NA2431          ,3,3,3,0
,,,,,,NA2432          ,4,4,4,0
,,,,,,NA2433          ,1,5,1,0
,,,,,,NA2433          ,3,6,3,0
,,,,,,NA2433          ,4,4,4,0
,,,,,,NA2437          ,1,1,1,0
,,,,,,NA2443          ,2,2,2,0
,,,,,,NA2448         ,1,1,1,0
,,,,,,NA2448          ,2,2,2,0
,,,,,,NA2451          ,2,26,2,0
,,,,,,NA2451          ,4,4,4,0
,,,,,,NA2452          ,8,8,8,0
,,,,,,NA2472          ,2,18,2,0
,,,,,,NA2472          ,6,12,6,0
,,,,,,NA2472          ,10,10,10,0
,,,,,,NA2472          ,12,24,12,0
,,,,,,NA2472          ,22,22,22,0
,,,,,,NA2473         ,1,5,1,0
,,,,,,NA2474          ,1,3,1,0
,,,,,,NA2474          ,2,2,2,0
,,,,,,NA2474          ,2,4,4,0
,,,,,,NA2474          ,3,3,3,0
,,,,,,NA2474          ,4,4,4,0
,,,,,,NA2474          ,5,5,5,0
,,,,,,NA2475          ,1,1,1,0
,,,,,,NA2475          ,6,6,6,0
,,,,,,NA2476         ,4,4,4,0
,,,,,,NA2476          ,1,27,1,0
,,,,,,NA2476          ,2,4,2,0
,,,,,,NA2476          ,3,3,3,0
,,,,,,NA2488          ,1,2,1,0
,,,,,,NA2488          ,1,2,2,0
,,,,,,NA2488          ,2,4,2,0
,,,,,,NA2495          ,1,9,1,0
,,,,,,NA2495          ,3,6,3,0
,,,,,,NA2495          ,5,5,5,0
,,,,,,NA2495          ,6,12,6,0
,,,,,,NA2495          ,11,11,11,0
,,,,,,NA2496          ,1,1,1,0
,,,,,,NA2511         ,2,2,2,0
,,,,,,NA2511          ,4,8,4,0
,,,,,,NA2514          ,1,2,1,0
,,,,,,NA2517          ,1,1,1,0
,,,,,,NA2523          ,1,1,1,0
,,,,,,NA2523          ,2,2,1,0
,,,,,,NA2525         ,10,10,10,0
,,,,,,NA2525          ,6,6,6,0
,,,,,,NA2525          ,8,24,8,0
,,,,,,NA2525          ,20,20,20,0
,,,,,,NA2525          ,45,45,45,0
,,,,,,NA2526          ,2,2,2,0
,,,,,,NA2526          ,4,4,4,0
,,,,,,NA2526          ,8,16,8,0
,,,,,,NA2526          ,10,20,10,0
,,,,,,NA2527         ,8,16,8,0
,,,,,,NA2527          ,3,3,3,0
,,,,,,NA2527          ,4,4,4,0
,,,,,,NA2527          ,10,20,10,0
,,,,,,NA2527          ,12,12,12,0
,,,,,,NA2528          ,1,2,1,0
,,,,,,NA2529         ,1,2,1,0
,,,,,,NA2529          ,2,4,2,0
,,,,,,NA2529          ,3,3,3,0
,,,,,,NA2529          ,5,5,5,0
,,,,,,NA2530          ,1,5,1,0
,,,,,,NA2530          ,2,4,2,0
,,,,,,NA2532          ,1,2,1,0
,,,,,,NA2532          ,2,6,2,0
,,,,,,NA2533          ,1,1,1,0
,,,,,,NA2533          ,2,4,2,0
,,,,,,NA2533          ,4,4,4,0
,,,,,,NA2534          ,1,1,1,0
,,,,,,NA2534          ,4,4,4,0
,,,,,,NA2534          ,5,5,5,0
,,,,,,NA2535          ,1,1,1,0
,,,,,,NA2535          ,4,4,4,0
,,,,,,NA2535          ,5,10,5,0
,,,,,,NA2535          ,22,22,22,0
,,,,,,NA2536          ,1,1,1,0
,,,,,,NA2536          ,4,4,4,0
,,,,,,NA2536          ,12,12,12,0
,,,,,,NA2536          ,20,20,20,0
,,,,,,NA2537          ,5,15,5,0
,,,,,,NA2538         ,2,2,2,0
,,,,,,NA2538          ,4,12,4,0
,,,,,,NA2538          ,10,10,10,0
,,,,,,NA2541          ,2,2,2,0
,,,,,,NA2544          ,2,2,2,0
,,,,,,NA2544          ,6,12,6,0
,,,,,,NA2545          ,1,35,1,0
,,,,,,NA2545          ,1,4,2,0
,,,,,,NA2545          ,2,24,2,0
,,,,,,NA2545          ,2,4,4,0
,,,,,,NA2545          ,3,21,3,0
,,,,,,NA2545          ,4,12,4,0
,,,,,,NA2545          ,5,20,5,0
,,,,,,NA2546          ,2,28,2,0
,,,,,,NA2546          ,3,21,3,0
,,,,,,NA2546          ,3,6,6,0
,,,,,,NA2546          ,4,16,4,0
,,,,,,NA2546          ,5,60,5,0
,,,,,,NA2546          ,5,10,10,0
,,,,,,NA2546          ,6,24,6,0
,,,,,,NA2546          ,6,12,12,0
,,,,,,NA2546          ,7,7,7,0
,,,,,,NA2546          ,8,16,8,0
,,,,,,NA2546          ,9,36,9,0
,,,,,,NA2546          ,10,10,10,0
,,,,,,NA2546          ,14,28,14,0
,,,,,,NA2546          ,15,45,15,0
,,,,,,NA2546          ,18,18,18,0
,,,,,,NA2546          ,24,48,24,0
,,,,,,NA2546          ,32,96,32,0
,,,,,,NA2546          ,40,40,40,0
,,,,,,NA2547          ,1,33,1,0
,,,,,,NA2547          ,1,4,2,0
,,,,,,NA2547          ,2,14,2,0
,,,,,,NA2547          ,2,4,4,0
,,,,,,NA2547          ,3,21,3,0
,,,,,,NA2547          ,4,12,4,0
,,,,,,NA2547          ,5,20,5,0
,,,,,,NA2548          ,1,15,1,0
,,,,,,NA2548          ,1,4,2,0
,,,,,,NA2548          ,2,12,2,0
,,,,,,NA2548          ,2,4,4,0
,,,,,,NA2548          ,3,21,3,0
,,,,,,NA2548          ,4,12,4,0
,,,,,,NA2548          ,5,15,5,0
